dpi	animal	trial	latency
120	426	trial_7	281.7
120	426	trial_8	277.2
120	426	trial_9	230.8
120	427	trial_4	367.1
120	427	trial_5	269.5
120	427	trial_6	375.8
120	427	trial_7	289.6
120	427	trial_8	414.2
120	427	trial_9	353.3
120	430	trial_4	138.5
120	430	trial_5	108
120	430	trial_6	152.7
120	430	trial_7	88.4
120	430	trial_8	201.8
120	430	trial_9	268.2
120	431	trial_4	104.6
120	431	trial_5	97.9
120	431	trial_6	129.4
120	431	trial_7	86.1
120	431	trial_8	141.9
120	431	trial_9	95.7
120	432	trial_4	223.5
120	432	trial_4	270.5
120	432	trial_5	112.4
120	432	trial_5	186.8
120	432	trial_6	111.4
120	432	trial_6	91.6
120	432	trial_7	203.1
120	432	trial_7	276.2
120	432	trial_8	226
120	432	trial_8	132.9
120	432	trial_9	104.7
120	432	trial_9	224.8
120	433	trial_4	160.3
120	433	trial_5	116.1
120	433	trial_6	146.7
120	433	trial_7	109.7
120	433	trial_8	107.4
120	433	trial_9	196.6
120	437	trial_4	173.1
120	437	trial_5	165.4
120	437	trial_6	234.5
120	437	trial_7	274.4
120	437	trial_8	167.5
120	437	trial_9	198.9
120	438	trial_4	135.1
120	438	trial_5	202.1
120	438	trial_6	176.4
120	438	trial_7	192.1
120	438	trial_8	161.7
120	438	trial_9	170.8
120	439	trial_4	259
120	439	trial_5	228.9
120	439	trial_6	185.9
120	439	trial_7	195.7
120	439	trial_8	337.5
120	439	trial_9	401.1
120	440	trial_4	115.8
120	440	trial_5	123.5
120	440	trial_6	108.1
120	440	trial_7	135.3
120	440	trial_8	76.9
120	440	trial_9	155.4
120	442	trial_4	510.2
120	442	trial_5	466.9
120	442	trial_6	385.1
120	442	trial_7	437.4
120	442	trial_8	600.1
120	442	trial_9	600.3
150	400	trial_4	195.8
150	400	trial_5	239.3
150	400	trial_6	254.1
150	400	trial_7	262.8
150	400	trial_8	262.8
150	400	trial_9	291.1
150	401	trial_4	374.4
150	401	trial_5	320.6
150	401	trial_6	260.4
150	401	trial_7	267.9
150	401	trial_8	267.9
150	401	trial_9	293.8
150	402	trial_4	191.8
150	402	trial_5	168.9
150	402	trial_6	250.2
150	402	trial_7	236.2
150	402	trial_8	236.2
150	402	trial_9	170.9
150	403	trial_4	594.7
150	403	trial_5	600.3
150	403	trial_6	297.4
150	403	trial_7	600.2
150	403	trial_8	600.2
150	403	trial_9	420.4
150	404	trial_4	600.5
150	404	trial_5	600.2
150	404	trial_6	347.3
150	404	trial_7	588.6
150	404	trial_8	600.6
150	404	trial_9	241.8
150	405	trial_4	244.6
150	405	trial_5	249.9
150	405	trial_6	226.2
150	405	trial_7	244.7
150	405	trial_8	272.4
150	405	trial_9	223.3
150	406	trial_4	408.8
150	406	trial_5	333.3
150	406	trial_6	234.4
150	406	trial_7	347.4
150	406	trial_8	386.4
150	406	trial_9	366.8
150	407	trial_4	238.4
150	407	trial_5	128.6
150	407	trial_6	384.6
150	407	trial_7	297.3
150	407	trial_8	349.5
150	407	trial_9	600.3
150	409	trial_4	228.4
150	409	trial_5	244.8
150	409	trial_6	252.2
150	409	trial_7	259.5
150	409	trial_8	145.6
150	409	trial_9	155.2
150	410	trial_4	265.8
150	410	trial_5	248.4
150	410	trial_6	276.9
150	410	trial_7	554.1
150	410	trial_8	243.6
150	410	trial_9	300.1
150	426	trial_4	154
150	426	trial_5	157.7
150	426	trial_6	157.7
150	426	trial_7	99
150	426	trial_8	169.3
150	426	trial_9	151.1
150	427	trial_4	145.4
150	427	trial_5	132.7
150	427	trial_6	153.2
150	427	trial_7	260.5
150	427	trial_8	123.6
150	427	trial_9	65.4
150	430	trial_4	137.3
150	430	trial_5	131.8
150	430	trial_6	101.1
150	430	trial_7	26.7
150	430	trial_8	44.5
150	430	trial_9	140.4
150	431	trial_4	23.3
150	431	trial_5	6.1
150	431	trial_6	110
150	431	trial_7	7.1
150	431	trial_8	11.3
150	431	trial_9	15
150	432	trial_4	74
150	432	trial_4	152.5
150	432	trial_5	80.2
150	432	trial_5	182.6
150	432	trial_6	140.4
150	432	trial_6	162.5
150	432	trial_7	49.9
150	432	trial_7	143.5
150	432	trial_8	109.9
150	432	trial_8	98.2
150	432	trial_9	131.8
150	432	trial_9	168.4
150	433	trial_4	106.9
150	433	trial_5	173.5
150	433	trial_6	231.7
150	433	trial_7	182.5
150	433	trial_8	116
150	433	trial_9	157.5
150	437	trial_4	82.5
150	437	trial_5	139.5
150	437	trial_6	159.8
150	437	trial_7	89
150	437	trial_8	116.4
150	437	trial_9	81.7
150	439	trial_4	115.3
150	439	trial_5	135.3
150	439	trial_6	158.5
150	439	trial_7	153.3
150	439	trial_8	157
150	439	trial_9	146.2
150	440	trial_4	60.8
150	440	trial_5	100.1
150	440	trial_6	137.2
150	440	trial_7	145.7
150	440	trial_8	108.2
150	440	trial_9	98
150	442	trial_4	281.6
150	442	trial_5	119.2
150	442	trial_6	286.6
150	442	trial_7	126.6
150	442	trial_8	228.4
150	442	trial_9	200.2
180	400	trial_4	244.7
180	400	trial_5	245
180	400	trial_6	306.5
180	400	trial_7	251.5
180	400	trial_8	337.1
180	400	trial_9	299.4
180	401	trial_4	357.1
180	401	trial_5	314.8
180	401	trial_6	297.6
180	401	trial_7	266.6
180	401	trial_8	269.4
180	401	trial_9	441.2
180	402	trial_4	189
180	402	trial_5	394.7
180	402	trial_6	149.1
180	402	trial_7	183.2
180	402	trial_8	337.5
180	402	trial_9	142.1
180	403	trial_4	389.9
180	403	trial_5	433.5
180	403	trial_6	261.1
180	403	trial_7	250.6
180	403	trial_8	489.1
180	403	trial_9	600.8
180	404	trial_4	396.7
180	404	trial_5	499.8
180	404	trial_6	449.9
180	404	trial_7	309.1
180	404	trial_8	419.3
180	404	trial_9	266
180	405	trial_4	241.1
180	405	trial_5	254.5
180	405	trial_6	266.2
180	405	trial_7	267.6
180	405	trial_8	189
180	405	trial_9	315.6
180	406	trial_4	452.9
180	406	trial_5	430.5
180	406	trial_6	597.3
180	406	trial_7	432.9
180	406	trial_8	600.5
180	406	trial_9	249.4
180	407	trial_4	316.5
180	407	trial_5	324.8
180	407	trial_6	308.7
180	407	trial_7	303
180	407	trial_8	175.4
180	407	trial_9	311.9
180	409	trial_4	285.4
180	409	trial_5	221.2
180	409	trial_6	231.4
180	409	trial_7	331
180	409	trial_8	257.6
180	409	trial_9	321.5
180	410	trial_4	302.3
180	410	trial_5	298.4
180	410	trial_6	316.4
180	410	trial_7	258.5
180	410	trial_8	83.2
180	410	trial_9	153.1
180	442	trial_4	230.5
180	442	trial_5	119.1
180	442	trial_6	93.3
180	442	trial_7	197.6
180	442	trial_8	35
180	442	trial_9	74.5
