expt	cohort	animal	cage	strain	treatment	dose	timepoint	display	color	lty	x
V	V-120-ACTIVE6	VF1	VF	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
V	V-120-ACTIVE6	VF2	VF	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
V	V-120-ACTIVE6	VF3	VF	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
V	V-120-ACTIVE6	VF4	VF	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
V	V-132-PBS	VG1	VG	RML	saline	0	132	saline	#7C7C7C	1	132
V	V-132-PBS	VG2	VG	RML	saline	0	132	saline	#7C7C7C	1	132
V	V-132-PBS	VG3	VG	RML	saline	0	132	saline	#7C7C7C	1	132
V	V-132-PBS	VG4	VG	RML	saline	0	132	saline	#7C7C7C	1	132
V	V-132-PBS	VH1	VH	RML	saline	0	132	saline	#7C7C7C	1	132
V	V-132-PBS	VH2	VH	RML	saline	0	132	saline	#7C7C7C	1	132
V	V-132-PBS	VH3	VH	RML	saline	0	132	saline	#7C7C7C	1	132
V	V-132-PBS	VH4	VH	RML	saline	0	132	saline	#7C7C7C	1	132
V	V-132-PBS	VI1	VI	RML	saline	0	132	saline	#7C7C7C	1	132
V	V-132-PBS	VI2	VI	RML	saline	0	132	saline	#7C7C7C	1	132
V	V-died	VI3	VI	RML	saline	0	NA			NA	NA
V	V-132-PBS	VI4	VI	RML	saline	0	132	saline	#7C7C7C	1	132
V	V-132-ACTIVE6	VJ1	VJ	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-132-ACTIVE6	VJ2	VJ	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-132-ACTIVE6	VJ3	VJ	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-132-ACTIVE6	VJ4	VJ	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-132-ACTIVE6	VK1	VK	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-132-ACTIVE6	VK2	VK	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-132-ACTIVE6	VK3	VK	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-132-ACTIVE6	VK4	VK	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-132-ACTIVE6	VL1	VL	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-132-ACTIVE6	VL2	VL	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-132-ACTIVE6	VL3	VL	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-132-ACTIVE6	VL4	VL	RML	active ASO 6	500	132	active ASO 6	#41B6C4	1	132
V	V-143-PBS	VM1	VM	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-PBS	VM2	VM	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-PBS	VM3	VM	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-PBS	VM4	VM	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-PBS	VN1	VN	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-PBS	VN2	VN	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-PBS	VN3	VN	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-PBS	VN4	VN	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-PBS	VO1	VO	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-PBS	VO2	VO	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-PBS	VO3	VO	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-PBS	VO4	VO	RML	saline	0	143	saline	#7C7C7C	1	143
V	V-143-ACTIVE6	VP1	VP	RML	active ASO 6	500	143	active ASO 6	#41B6C4	1	143
V	V-143-ACTIVE6	VP2	VP	RML	active ASO 6	500	143	active ASO 6	#41B6C4	1	143
V	V-143-ACTIVE6	VP3	VP	RML	active ASO 6	500	143	active ASO 6	#41B6C4	1	143
V	V-143-ACTIVE6	VP4	VP	RML	active ASO 6	500	143	active ASO 6	#41B6C4	1	143
V	V-143-ACTIVE6	VQ1	VQ	RML	active ASO 6	500	143	active ASO 6	#41B6C4	1	143
V	V-143-ACTIVE6	VQ2	VQ	RML	active ASO 6	500	143	active ASO 6	#41B6C4	1	143
V	V-143-ACTIVE6	VQ3	VQ	RML	active ASO 6	500	143	active ASO 6	#41B6C4	1	143
V	V-143-ACTIVE6	VQ4	VQ	RML	active ASO 6	500	143	active ASO 6	#41B6C4	1	143
V	V-143-ACTIVE6	VR1	VR	RML	active ASO 6	500	143	active ASO 6	#41B6C4	1	143
V	V-143-ACTIVE6	VR2	VR	RML	active ASO 6	500	NA	active ASO 6	#41B6C4	1	143
V	V-143-ACTIVE6	VR3	VR	RML	active ASO 6	500	143	active ASO 6	#41B6C4	1	143
V	V-143-ACTIVE6	VR4	VR	RML	active ASO 6	500	143	active ASO 6	#41B6C4	1	143
V	V-died	VS1	VS	RML	no treatment	0	NA			NA	NA
V	V-156-ACTIVE6	VS2	VS	RML	active ASO 6	500	156	active ASO 6	#41B6C4	1	156
V	V-156-ACTIVE6	VS3	VS	RML	active ASO 6	500	156	active ASO 6	#41B6C4	1	156
V	V-died	VS4	VS	RML	no treatment	0	NA			NA	NA
V	V-156-ACTIVE6	VT1	VT	RML	saline	0	156	active ASO 6	#41B6C4	1	156
V	V-156-ACTIVE6	VT2	VT	RML	saline	0	156	active ASO 6	#41B6C4	1	156
V	V-died	VT3	VT	RML	no treatment	0	NA			NA	NA
V	V-died	VT4	VT	RML	no treatment	0	NA			NA	NA
V	V-156-PBS	VU1	VU	RML	active ASO 6	500	156	saline	#7C7C7C	1	156
V	V-156-PBS	VU2	VU	RML	active ASO 6	500	156	saline	#7C7C7C	1	156
V	V-156-PBS	VU3	VU	RML	active ASO 6	500	156	saline	#7C7C7C	1	156
V	V-156-PBS	VU4	VU	RML	active ASO 6	500	156	saline	#7C7C7C	1	156
V	V-156-ACTIVE6	VV1	VV	RML	saline	0	156	active ASO 6	#41B6C4	1	156
V	V-156-ACTIVE6	VV2	VV	RML	saline	0	156	active ASO 6	#41B6C4	1	156
V	V-156-ACTIVE6	VV3	VV	RML	saline	0	156	active ASO 6	#41B6C4	1	156
V	V-156-ACTIVE6	VV4	VV	RML	saline	0	156	active ASO 6	#41B6C4	1	156
V	V-156-PBS	VW1	VW	RML	active ASO 6	500	156	saline	#7C7C7C	1	156
V	V-156-PBS	VW2	VW	RML	active ASO 6	500	156	saline	#7C7C7C	1	156
V	V-156-PBS	VW3	VW	RML	active ASO 6	500	156	saline	#7C7C7C	1	156
V	V-156-PBS	VW4	VW	RML	active ASO 6	500	156	saline	#7C7C7C	1	156
V	V-died	VX1	VX	RML	no treatment	0	NA			NA	NA
V	V-died	VX2	VX	RML	saline	0	NA			NA	NA
V	V-died	VX3	VX	RML	saline	0	NA			NA	NA
V	V-156-PBS	VX4	VX	RML	saline	0	156	saline	#7C7C7C	1	156
