expt	cohort	animal	cage	strain	treatment	dose	timepoint	display	color	lty	x
S	S-ME7-PBS	SCZ3	SCZ	ME7	saline	0	-14	saline	#7C7C7C	1	4
S	S-ME7-PBS	SCZ4	SCZ	ME7	saline	0	-14	saline	#7C7C7C	1	4
S	S-ME7-ACTIVE1	SDZ1	SDZ	ME7	active ASO 1	500	-14	active ASO 1	#0909FF	1	4
S	S-ME7-ACTIVE1	SDZ2	SDZ	ME7	active ASO 1	500	-14	active ASO 1	#0909FF	1	4
S	S-ME7-ACTIVE1	SDZ3	SDZ	ME7	active ASO 1	500	-14	active ASO 1	#0909FF	1	4
S	S-ME7-ACTIVE1	SDZ4	SDZ	ME7	active ASO 1	500	-14	active ASO 1	#0909FF	1	4
S	S-Fu1-PBS	SEZ1	SEZ	Fukuoka-1	saline	0	-14	saline	#7C7C7C	1	3
S	S-Fu1-PBS	SEZ2	SEZ	Fukuoka-1	saline	0	-14	saline	#7C7C7C	1	3
S	S-Fu1-PBS	SEZ3	SEZ	Fukuoka-1	saline	0	-14	saline	#7C7C7C	1	3
S	S-Fu1-PBS	SEZ4	SEZ	Fukuoka-1	saline	0	-14	saline	#7C7C7C	1	3
S	S-Fu1-ACTIVE1	SFZ1	SFZ	Fukuoka-1	active ASO 1	500	-14	active ASO 1	#0909FF	1	3
S	S-Fu1-ACTIVE1	SFZ2	SFZ	Fukuoka-1	active ASO 1	500	-14	active ASO 1	#0909FF	1	3
S	S-Fu1-ACTIVE1	SFZ3	SFZ	Fukuoka-1	active ASO 1	500	-14	active ASO 1	#0909FF	1	3
S	S-Fu1-ACTIVE1	SFZ4	SFZ	Fukuoka-1	active ASO 1	500	-14	active ASO 1	#0909FF	1	3
S	S-Fu1-PBS	SGZ1	SGZ	Fukuoka-1	saline	0	-14	saline	#7C7C7C	1	3
S	S-Fu1-PBS	SGZ2	SGZ	Fukuoka-1	saline	0	-14	saline	#7C7C7C	1	3
S	S-Fu1-PBS	SGZ3	SGZ	Fukuoka-1	saline	0	-14	saline	#7C7C7C	1	3
S	S-Fu1-PBS	SGZ4	SGZ	Fukuoka-1	saline	0	-14	saline	#7C7C7C	1	3
S	S-Fu1-ACTIVE1	SHZ1	SHZ	Fukuoka-1	active ASO 1	500	-14	active ASO 1	#0909FF	1	3
S	S-Fu1-ACTIVE1	SHZ2	SHZ	Fukuoka-1	active ASO 1	500	-14	active ASO 1	#0909FF	1	3
S	S-Fu1-ACTIVE1	SHZ3	SHZ	Fukuoka-1	active ASO 1	500	-14	active ASO 1	#0909FF	1	3
S	S-Fu1-ACTIVE1	SHZ4	SHZ	Fukuoka-1	active ASO 1	500	-14	active ASO 1	#0909FF	1	3
S	S-RML-PBS	SIZ1	SIZ	RML	saline	0	-14	saline	#7C7C7C	1	1
S	S-RML-PBS	SIZ2	SIZ	RML	saline	0	-14	saline	#7C7C7C	1	1
S	S-RML-PBS	SIZ3	SIZ	RML	saline	0	-14	saline	#7C7C7C	1	1
