cage	dpi	edry	nslt	comb
VC	157	0	0.5	0.25
VD	157	0.5	1	0.75
VE	157	0.5	1	0.75
VF	157	2	2	2
VG	157	0	0.5	0.25
VH	157	0	0.5	0.25
VI	157	0	0.5	0.25
VJ	157	0	1	0.5
VK	157	0.5	0.5	0.5
VL	157	1	1	1
VM	157	0	1	0.5
VN	157	0	0.5	0.25
VO	157	0	0.5	0.25
VP	157	0.5	1	0.75
VQ	157	0	1	0.5
VR	157	0	0.5	0.25
VS	157	0	0.5	0.25
VT	157	0	0.5	0.25
VU	157	0.5	0.5	0.5
VV	157	0	0	0
VW	157	0	0.5	0.25
VX	157	0	0.5	0.25
VA	164	0	0.5	0.25
VB	164	0	1	0.5
VC	164	0	0	0
VD	164	0.5	0.5	0.5
VE	164	0.5	0.5	0.5
VF	164	0.5	0.5	0.5
VH	164	0	1	0.5
VK	164	0.5	0.5	0.5
VL	164	0	0	0
VM	164	0	0.5	0.25
VN	164	0	0	0
VO	164	0	0.5	0.25
VP	164	0.5	0.5	0.5
VQ	164	0.5	0	0.25
VR	164	0	0	0
VU	164	0	0	0
VV	164	0	0	0
VW	164	0	0	0
VX	164	0	0	0
VA	171	0	1	0.5
VB	171	0.5	1	0.75
VD	171	0.5	0.5	0.5
VE	171	0.5	1	0.75
VF	171	1.5	2	1.75
VH	171	0	0.5	0.25
VK	171	0.5	0.5	0.5
VL	171	0.5	0.5	0.5
VN	171	0	0.5	0.25
VO	171	0	0.5	0.25
VP	171	0.5	0.5	0.5
VQ	171	0.5	0	0.25
VR	171	0	0	0
VU	171	0	0	0
VV	171	0	0	0
VA	178	0	0	0
VD	178	0	0.5	0.25
VE	178	0	0.5	0.25
VF	178	0	0.5	0.25
VH	178	0	0	0
VK	178	0	0.5	0.25
VL	178	0	0.5	0.25
VO	178	0	0	0
VP	178	0	0	0
VQ	178	0	0	0
VR	178	0	0	0
VD	185	0.5	0.5	0.5
VE	185	0.5	0.5	0.5
VF	185	0.5	0.5	0.5
VK	185	0	0	0
VL	185	0.5	0.5	0.5
VP	185	0	0.5	0.25
VQ	185	0.5	0.5	0.5
VR	185	0	0.5	0.25
VD	192	0	1	0.5
VE	192	0	0.5	0.25
VF	192	0.5	0	0.25
VK	192	0	0.5	0.25
VL	192	0	0	0
VP	192	0	0.5	0.25
VQ	192	0	0	0
VR	192	0	0.5	0.25
VD	199	0.5	0.5	0.5
VE	199	0.5	0.5	0.5
VF	199	0.5	0.5	0.5
VK	199	0	0.5	0.25
VL	199	0.5	1.5	1
VP	199	0	1	0.5
VQ	199	0	0.5	0.25
VR	199	0	0.5	0.25
VD	206	0.5	0.5	0.5
VE	206	0.5	0.5	0.5
VF	206	0	0.5	0.25
VK	206	0	0.5	0.25
VL	206	0	0	0
VP	206	0	1	0.5
VQ	206	0	0	0
VR	206	0	0	0
VD	213	0.5	0.5	0.5
VE	213	0.5	0.5	0.5
VF	213	0.5	0.5	0.5
VK	213	0	0.5	0.25
VL	213	0.5	0	0.25
VP	213	0	0.5	0.25
VQ	213	0.5	0	0.25
VD	220	0	0	0
VE	220	0	0	0
VF	220	0	0	0
VK	220	0	0.5	0.25
VL	220	0	0	0
VP	220	0	0.5	0.25
VQ	220	0	0	0
VD	227	0.5	0.5	0.5
VE	227	0	0.5	0.25
VF	227	0.5	0.5	0.5
VK	227	0	0.5	0.25
VL	227	0	0.5	0.25
VP	227	0	0.5	0.25
VQ	227	0	0	0
VD	234	0	0.5	0.25
VE	234	0	0	0
VF	234	0	0.5	0.25
VK	234	0	0	0
VL	234	0	0	0
VP	234	0	0	0
VQ	234	0	0	0
VD	241	0	0.5	0.25
VE	241	0	0	0
VF	241	0.5	0.5	0.5
VK	241	0	0	0
VL	241	0	0	0
VP	241	0	0.5	0.25
VQ	241	0	0.5	0.25
VD	248	0	0.5	0.25
VE	248	0	0	0
VF	248	0	0.5	0.25
VK	248	0	0	0
VL	248	0	0	0
VP	248	0	0	0
VQ	248	0	0	0
VD	255	0	0.5	0.25
VE	255	0	0.5	0.25
VF	255	0.5	0.5	0.5
VK	255	0	0.5	0.25
VL	255	0	0	0
VP	255	0	0	0
VQ	255	0	0	0
VE	262	0	0	0
VF	262	0	0	0
VK	262	0	0	0
VL	262	0	0	0
VP	262	0	0	0
VQ	262	0	0	0
VF	269	0.5	0	0.25
VP	269	0	0	0
VQ	269	0	0.5	0.25
VF	276	0	0	0
VP	276	0	0	0
VQ	276	0	0	0
VF	283	0	0	0
VQ	283	0	1	0.5
TG	91	2	2	2
TI	91	2	2	2
TJ	91	2	2	2
TK	91	2	2	2
TL	91	2	2	2
TM	91	2	2	2
TN	91	2	2	2
TO	91	2	2	2
TP	91	2	2	2
TQ	91	2	2	2
TR	91	2	2	2
TS	91	2	2	2
TT	91	2	2	2
TU	91	2	2	2
TV	91	2	2	2
TW	91	2	2	2
TX	91	2	2	2
TY	91	2	2	2
TZ	91	2	2	2
TAA	91	2	2	2
TAB	91	2	2	2
TAC	91	2	2	2
TAD	91	2	2	2
TAE	91	2	2	2
TAF	91	2	2	2
TAG	91	2	2	2
TAH	91	2	2	2
TAI	91	2	2	2
TG	100	2	2	2
TI	100	2	2	2
TJ	100	2	2	2
TK	100	2	2	2
TL	100	2	2	2
TM	100	2	2	2
TN	100	2	2	2
TO	100	2	2	2
TP	100	2	2	2
TQ	100	2	2	2
TR	100	2	2	2
TS	100	2	2	2
TT	100	2	2	2
TU	100	2	2	2
TV	100	2	2	2
TW	100	2	2	2
TX	100	2	2	2
TY	100	2	2	2
TZ	100	2	2	2
TAA	100	2	2	2
TAB	100	2	2	2
TAC	100	2	2	2
TAD	100	2	2	2
TAE	100	2	2	2
TAF	100	2	2	2
TAG	100	2	2	2
TAH	100	2	2	2
TAI	100	2	2	2
TG	107	2	2	2
TI	107	2	2	2
TJ	107	2	2	2
TK	107	2	2	2
TL	107	2	2	2
TM	107	2	2	2
TN	107	2	2	2
TO	107	2	2	2
TP	107	2	2	2
TQ	107	2	2	2
TR	107	2	2	2
TS	107	2	2	2
TT	107	2	2	2
TU	107	2	2	2
TV	107	2	2	2
TW	107	2	2	2
TX	107	2	2	2
TY	107	2	2	2
TZ	107	2	2	2
TAA	107	2	2	2
TAB	107	2	2	2
TAC	107	2	2	2
TAD	107	2	2	2
TAE	107	2	2	2
TAF	107	2	2	2
TAG	107	2	2	2
TAH	107	2	2	2
TAI	107	2	2	2
TG	114	1.5	1.5	1.5
TI	114	2	2	2
TJ	114	1	1.5	1.25
TK	114	2	2	2
TL	114	2	2	2
TM	114	2	2	2
TN	114	2	2	2
TO	114	2	2	2
TP	114	2	2	2
TQ	114	0.5	1	0.75
TR	114	2	2	2
TS	114	1	1	1
TT	114	2	2	2
TU	114	2	2	2
TV	114	2	2	2
TW	114	2	2	2
TX	114	2	2	2
TY	114	2	2	2
TZ	114	2	2	2
TAA	114	2	2	2
TAB	114	2	2	2
TAC	114	2	2	2
TAD	114	2	2	2
TAE	114	2	2	2
TAF	114	0	0.5	0.25
TAG	114	2	2	2
TAH	114	1	1	1
TAI	114	2	2	2
TG	121	2	2	2
TI	121	2	2	2
TJ	121	1.5	1.5	1.5
TK	121	2	2	2
TL	121	2	2	2
TM	121	2	2	2
TN	121	2	2	2
TO	121	2	2	2
TP	121	2	2	2
TQ	121	1	1	1
TR	121	2	2	2
TS	121	1	1	1
TT	121	2	2	2
TU	121	2	2	2
TV	121	2	2	2
TW	121	2	2	2
TX	121	2	2	2
TY	121	2	2	2
TZ	121	2	2	2
TAA	121	2	2	2
TAB	121	2	2	2
TAC	121	2	2	2
TAD	121	2	2	2
TAE	121	2	2	2
TAF	121	0	0.5	0.25
TAG	121	2	2	2
TAH	121	1.5	1.5	1.5
TAI	121	2	2	2
TG	128	0	0	0
TI	128	2	2	2
TJ	128	0	0	0
TK	128	2	2	2
TL	128	0	0	0
TM	128	2	2	2
TN	128	0	0	0
TO	128	2	2	2
TP	128	0	0	0
TQ	128	0	0	0
TR	128	0	0	0
TS	128	0	0	0
TT	128	0	0	0
TU	128	2	2	2
TV	128	0.5	0.5	0.5
TW	128	1	1	1
TX	128	0.5	0	0.25
TY	128	2	2	2
TZ	128	0	0	0
TAA	128	2	2	2
TAB	128	0	0	0
TAC	128	2	2	2
TAD	128	0	0	0
TAE	128	2	2	2
TAF	128	0	0	0
TAG	128	2	2	2
TAH	128	0	0	0
TAI	128	2	2	2
TG	135	0	0	0
TI	135	2	2	2
TJ	135	0	0	0
TK	135	2	2	2
TL	135	0.5	0	0.25
TM	135	2	2	2
TN	135	0.5	0	0.25
TO	135	2	2	2
TP	135	1.5	1.5	1.5
TQ	135	2	2	2
TR	135	0.5	0.5	0.5
TS	135	2	2	2
TT	135	1	0.5	0.75
TU	135	2	2	2
TV	135	1	0.5	0.75
TW	135	2	2	2
TX	135	1.5	1	1.25
TY	135	2	2	2
TZ	135	0.5	0.5	0.5
TAA	135	2	2	2
TAB	135	1	1	1
TAC	135	2	2	2
TAD	135	0	0	0
TAE	135	2	2	2
TAF	135	0	0	0
TAG	135	2	2	2
TAH	135	0	0	0
TAI	135	2	2	2
TG	142	0	0	0
TI	142	2	2	2
TJ	142	0	0	0
TK	142	2	2	2
TL	142	0	0	0
TM	142	2	2	2
TN	142	0	0	0
TO	142	2	2	2
TP	142	0	0	0
TQ	142	0	0.5	0.25
TR	142	0	0	0
TS	142	2	2	2
TT	142	0	0	0
TU	142	2	2	2
TV	142	0	0	0
TW	142	0	0.5	0.25
TX	142	0	0	0
