animal	dpi	weight
DH1	152	31.4
DH2	152	25
DH3	152	22.7
DH4	152	29.9
DI3	152	25.7
DI4	152	23.8
DJ1	152	25
DJ3	152	28.1
DJ4	152	31.3
DA1	154	22.5
DA2	154	24.6
DA4	154	20.6
DB1	154	27.1
DB2	154	27.8
DB3	154	29.9
DB4	154	21.7
DC3	154	25.1
DC4	154	22.9
DD1	154	23.5
DD2	154	24.7
DD3	154	29.3
DD4	154	24.9
DE1	154	24.4
DE2	154	24.9
DE3	154	30.4
DE4	154	29.9
DG1	154	24.4
DG2	154	28
DG3	154	23.6
DH1	154	31
DH2	154	25.7
DH3	154	22.9
DH4	154	30
DI3	154	25.8
DI4	154	24.8
DJ1	154	25
DJ3	154	28
DJ4	154	31.8
DA2	157	23.9
DA4	157	19.4
DB1	157	26.8
DB2	157	28.3
DB3	157	29.8
DB4	157	21.6
DC3	157	26
DC4	157	22.7
DD1	157	23.6
DD2	157	25
DD3	157	29.7
DD4	157	24.9
DE1	157	24.9
DE2	157	24.4
DE3	157	28.9
DE4	157	29.9
DG1	157	23.7
DG2	157	27.6
DG3	157	23.1
DH1	157	31.4
DH2	157	26.5
DH3	157	23.9
DH4	157	30.1
DI3	157	26.8
DI4	157	26
DJ1	157	25.5
DJ3	157	28.2
DJ4	157	31.9
DB1	159	27
DB2	159	28
DB3	159	29.8
DB4	159	22.6
DC3	159	26.4
DC4	159	23
DD1	159	22.4
DD2	159	25.7
DD3	159	29.4
DD4	159	25.4
DE1	159	25.3
DE2	159	24.6
DE3	159	29.6
DE4	159	30.2
DG1	159	24.3
DG2	159	28
DG3	159	23.8
DH1	159	31.8
DH2	159	26.5
DH3	159	23.5
DH4	159	30.2
DI3	159	26.7
DI4	159	25.2
DJ1	159	24.7
DJ3	159	28.3
DJ4	159	31.6
DB1	161	26.6
DB2	161	27.6
DB3	161	29.2
DB4	161	23.3
DC3	161	25.9
DC4	161	22.6
DD1	161	21.8
DD2	161	24.9
DD3	161	30.6
DD4	161	25.7
DE1	161	25.7
DE2	161	24.6
DE3	161	29.6
DE4	161	30.5
DG1	161	24.8
DG2	161	26.1
DH1	161	31.5
DH2	161	26.6
DH3	161	22.7
DH4	161	30.1
DI3	161	26.4
DI4	161	23.9
DJ1	161	25
DJ3	161	28.3
DJ4	161	32.1
DB1	164	26.6
DB2	164	27.9
DB3	164	29.3
DB4	164	22.6
DC3	164	25.7
DC4	164	22.6
DD1	164	21.7
DD2	164	25.6
DD3	164	29.8
DD4	164	25.3
DE1	164	25.5
DE2	164	24.9
DE3	164	29.9
DE4	164	30
DG1	164	23.6
DG2	164	24.8
DH1	164	31.3
DH2	164	26.8
DH3	164	22.6
DH4	164	30
DI3	164	27
DI4	164	23.9
DJ1	164	24.2
DJ3	164	27.1
DJ4	164	31.8
DB1	166	27.4
DB2	166	28
DB3	166	29.9
DB4	166	23.7
DC3	166	25.8
DC4	166	23.2
DD1	166	22
DD2	166	25.4
DD3	166	30
DD4	166	25.7
DE1	166	25.9
DE2	166	25.1
DE3	166	29.9
DE4	166	30.6
DG1	166	25.3
DG2	166	25.9
DH1	166	31.4
DH2	166	25.5
DH3	166	22.8
DH4	166	30.5
DI3	166	27.3
DI4	166	24.9
DJ1	166	25.8
DJ3	166	27.6
DJ4	166	32.3
DB1	168	26
DB2	168	28.1
DB3	168	29.7
DB4	168	22.7
DC3	168	26.1
DC4	168	23.3
DD1	168	21.6
DD2	168	26.3
DD3	168	30.3
DD4	168	25.7
DE1	168	25.8
DE2	168	25.5
DE3	168	30
DE4	168	30.5
DG1	168	24
DG2	168	24.4
DH1	168	31.3
DH2	168	26.5
DH3	168	22.6
DH4	168	30.6
DI3	168	26.8
DI4	168	24.8
DJ1	168	25.4
DJ3	168	27.1
DJ4	168	32.3
DB1	171	23.9
DB2	171	25.9
DB3	171	28.8
DB4	171	21.7
DC3	171	24.7
DC4	171	23.7
DD1	171	22.3
DD2	171	26.3
DD3	171	31.4
DD4	171	25.6
DE1	171	26.3
DE2	171	25.9
DE3	171	30.4
DE4	171	31.2
DG1	171	22.9
DG2	171	23.6
DH1	171	31.2
DH2	171	25.7
DH3	171	22.4
DH4	171	30
DI3	171	27.3
DI4	171	25.2
DJ1	171	25.6
DJ3	171	27.1
DJ4	171	32.6
DB1	173	23.7
DB2	173	25.8
DB3	173	29.5
DB4	173	21
DC3	173	24.6
DC4	173	22.3
DD1	173	22.4
DD2	173	26.9
DD3	173	32.2
DD4	173	25.8
DE1	173	26.2
DE2	173	26.1
DE3	173	30.7
DE4	173	31.2
DG1	173	23.5
DG2	173	23.9
DH1	173	30
DH2	173	26
DH3	173	22.6
DH4	173	28.6
DI3	173	27.4
DI4	173	24.8
DJ1	173	26.1
DJ3	173	27.6
DJ4	173	32.9
DC3	175	24.8
DC4	175	22.7
DD1	175	22.5
DD2	175	26.6
DD3	175	31.8
DD4	175	25.3
DE1	175	26.4
DE2	175	26
DE3	175	31.4
DE4	175	31.4
DG1	175	24.4
DG2	175	24.3
DH1	175	30.1
DH2	175	26.3
DH3	175	22.8
DH4	175	28.9
DI3	175	27.2
DI4	175	25.6
DJ1	175	26.2
DJ3	175	27.9
DJ4	175	32.3
DC3	178	24.4
DC4	178	22.8
DD1	178	22.5
DD2	178	25.1
DD3	178	31.8
DD4	178	25.8
DE1	178	26.2
DE2	178	26.5
DE3	178	31.5
DE4	178	31.8
DG1	178	23.2
DG2	178	22.8
DH1	178	30.3
DH2	178	27.1
DH3	178	22.8
DH4	178	28.7
DI3	178	27.9
DI4	178	26.6
DJ1	178	26.4
DJ3	178	27
DJ4	178	32
DC3	180	24.5
DC4	180	22.7
DD1	180	22.8
DD2	180	25.6
DD3	180	31.9
DD4	180	25.5
DE1	180	26.8
DE2	180	26.6
DE3	180	31.6
DE4	180	31.3
DG1	180	22.9
DG2	180	22.6
DH1	180	29.9
DH2	180	26.4
DH3	180	22.3
DH4	180	28.2
DI3	180	27.5
DI4	180	26.2
DJ1	180	26.2
DJ3	180	26.8
DJ4	180	31.9
DC3	182	24.4
DC4	182	22.4
DD1	182	22.7
DD2	182	25.3
DD3	182	32.5
DD4	182	26.3
DE1	182	27.3
DE2	182	26.8
DE3	182	31.7
DE4	182	31.6
DG1	182	22.1
DG2	182	21.6
DH1	182	29.4
DH2	182	27.2
DH3	182	22
DH4	182	28.1
DI3	182	27.6
DI4	182	26.9
DJ1	182	27
DJ3	182	27.6
DJ4	182	32.2
DC3	185	24.1
DC4	185	22.9
DD1	185	22.6
DD2	185	25
DD3	185	32.2
DD4	185	26.5
DE1	185	27.5
DE2	185	27
DE3	185	31.9
DE4	185	31.8
DH1	185	28.7
DH2	185	26.2
DH3	185	21.8
DH4	185	25.9
DI3	185	27.1
DI4	185	25.7
DJ1	185	26.1
DJ3	185	27.2
DJ4	185	32.5
DC3	187	24.4
DC4	187	22.5
DD1	187	21.7
DD2	187	25.4
DD3	187	32.6
DD4	187	25.9
DE1	187	26.7
DE2	187	26.7
DE3	187	32.1
DE4	187	32.1
DH1	187	28.6
DH2	187	26
DH3	187	22
DH4	187	26.1
DI3	187	27.3
DI4	187	25.9
DJ1	187	27
DJ3	187	27.2
DJ4	187	32.3
DC3	189	24.5
DC4	189	23.4
DD1	189	22.1
DD2	189	25.6
DD3	189	31.8
DD4	189	26.1
DE1	189	26.9
DE2	189	26.3
DE3	189	31.4
DE4	189	31.6
DH1	189	28
DH2	189	26.4
DH3	189	22.5
DH4	189	25.7
DI3	189	27.3
DI4	189	26.4
DJ1	189	26.8
DJ3	189	28.3
DJ4	189	32.4
DD1	192	22.6
DD2	192	25.5
DD3	192	32.3
DD4	192	26.8
DE1	192	27.2
DE2	192	26.8
DE3	192	32.1
DE4	192	31.7
DH1	192	26.8
DH2	192	25.1
DH4	192	25.5
DI3	192	27.3
DI4	192	26
DJ1	192	27.2
DJ3	192	28.2
DJ4	192	32.9
DD1	194	22.4
DD2	194	25.1
DD3	194	32.1
DD4	194	26.6
DE1	194	26.8
DE2	194	26.5
DE3	194	31.9
DE4	194	31.8
DH1	194	25.6
DH2	194	23.5
DI3	194	27.6
DI4	194	25.8
DJ1	194	27
DJ3	194	28.3
DJ4	194	32.8
DD1	196	22.6
DD2	196	24.8
DD3	196	32.5
DD4	196	27.1
DE1	196	26.6
DE2	196	26.3
DE3	196	32.2
DE4	196	31.3
DH1	196	25.6
DH2	196	23.6
DI3	196	27.3
DI4	196	26
DJ1	196	27.5
DJ3	196	28.1
DJ4	196	33.4
DD1	199	22.3
DD2	199	23.9
DD3	199	32.2
DD4	199	27
DE1	199	25.6
DE2	199	27.6
DE3	199	31.5
DE4	199	31.9
DH1	199	26.1
DH2	199	23.5
DI3	199	27.7
DI4	199	26.1
DJ1	199	27.1
DJ3	199	28.4
DJ4	199	32.8
DD1	201	22.1
DD2	201	24.5
DD3	201	32.2
DD4	201	28
DE1	201	25
DE2	201	27.9
DE3	201	30.6
DE4	201	32
DH1	201	24.4
DH2	201	26.2
DI3	201	27.7
DJ1	201	27.1
DJ3	201	28.3
DJ4	201	32.9
DD1	203	21.8
DD2	203	23.4
DD3	203	31.2
DD4	203	27.5
DE1	203	25
DE2	203	28.3
DE3	203	31
DE4	203	31.9
DH2	203	24.2
DI3	203	26.4
DJ1	203	26.3
DJ3	203	28.8
DJ4	203	32.4
DD1	206	22.9
DD2	206	24
DD3	206	30.6
DD4	206	27.6
DE1	206	25.6
DE2	206	28.2
DE3	206	29.9
DE4	206	31.4
DI3	206	25.9
DJ1	206	27.2
DJ3	206	28.8
DJ4	206	32.2
DD1	208	22.3
DD3	208	30.1
DD4	208	27.8
DE1	208	25.2
DE2	208	27.9
DE3	208	30.3
DE4	208	31.3
DJ1	208	26.6
DJ3	208	28.8
DJ4	208	31.6
DD1	210	23.1
DD3	210	30.3
DD4	210	27.9
DE1	210	24.7
DE2	210	28.1
DE3	210	29.8
DE4	210	31.8
DJ1	210	26.8
DJ3	210	29.6
DJ4	210	32.7
DE1	213	24.1
DE2	213	28.5
DE3	213	30
DE4	213	31.9
DJ1	213	25.5
DJ3	213	29.4
DJ4	213	31.3
DE2	215	27.4
DE4	215	31.3
DJ1	215	26.2
DJ3	215	29.2
DJ4	215	30.3
DE2	217	27.4
DE4	217	31
DJ1	217	25.8
DJ3	217	29.4
DJ4	217	30
DE2	220	26.9
DE4	220	31.1
DJ1	220	26.5
DJ3	220	29.2
DJ4	220	30.1
DE2	222	26.7
DE4	222	31.5
DJ1	222	26.4
DJ3	222	29.2
DJ4	222	29.4
DJ3	224	30.1
DJ4	224	28.3
DJ3	227	29.3
DJ4	227	28.7
DJ3	229	30.2
DJ4	229	28.6
DJ3	231	29.3
DJ4	231	28.6
DJ3	234	29.6
DJ3	236	29.1
DJ3	238	29
DJ3	241	28.6
DJ3	243	28.3
DJ3	245	28.8
DJ3	248	28.4
DJ3	250	28.6
DJ3	252	28.5
DJ3	255	28.6
GA1	28	31.9
GA3	28	31
GB1	28	20.8
GB2	28	42.1
GB3	28	22.6
GB4	28	23.9
GB5	28	20.2
GC1	28	33.5
GC2	28	33.6
GC3	28	30.8
GC4	28	36.2
GD1	28	24.2
GD2	28	27.8
GD3	28	26.2
GD4	28	23.4
GE1	28	31.8
GE2	28	33.8
GF1	28	34.2
GF2	28	34.8
GG1	28	28.7
GG2	28	35.2
GG3	28	33.6
GH1	28	27.8
GH2	28	26.3
GH3	28	23
GH4	28	23.4
GI2	28	28.4
GI3	28	29.8
GI4	28	28.2
GJ1	28	27.3
GJ2	28	29.3
GJ3	28	23.2
GK2	28	23.5
GK3	28	22.6
GK4	28	24.4
GK5	28	29
GL1	28	25.7
GL2	28	23.8
GL3	28	22.7
GM1	28	20.3
GM2	28	21.1
GM3	28	26.9
GM4	28	19.3
GN1	28	21
GN2	28	24.1
GN3	28	24.1
GN4	28	24.2
GO1	28	19.6
GO2	28	17.7
GO3	28	18.5
GO4	28	22
GP1	28	23.4
GP2	28	25.8
GP3	28	23.5
GP4	28	24.8
GQ1	28	19.7
GQ3	28	20.8
GQ4	28	17.2
GR1	28	23
GR3	28	24.5
GR4	28	26.7
GS1	28	19.7
GS2	28	22.4
GS3	28	20.2
GS4	28	22.5
GT1	28	28.3
GT3	28	26.5
GT4	28	23.4
GU1	28	18.7
GU2	28	25.5
GU3	28	20.9
GU4	28	17.4
GA1	105	39.4
GA3	105	38.6
GB1	105	25.3
GB2	105	63
GB3	105	27.7
GB4	105	26.3
GB5	105	25.2
GC1	105	46.2
GC2	105	44.1
GC3	105	36.2
GC4	105	48.1
GD1	105	28.1
GD2	105	33.3
GD3	105	35.1
GD4	105	26.1
GE1	105	40.2
GE2	105	40.1
GF1	105	40
GF2	105	42.4
GG1	105	35.7
GG2	105	42.9
GG3	105	41.6
GH1	105	31.7
GH2	105	30.3
GH3	105	28.7
GH4	105	26
GI2	105	36.6
GI3	105	39.3
GI4	105	33.8
GJ1	105	33
GJ2	105	36.6
GJ3	105	27.1
GK2	105	30.6
GK3	105	26.7
GK4	105	28.8
GK5	105	36.5
GL1	105	29.3
GL2	105	30.6
GL3	105	27.6
GM1	105	24.2
GM2	105	22.8
GM3	105	33.3
GM4	105	22.1
GN1	105	25.7
GN3	105	30.5
GN4	105	27.6
GO1	105	23.4
GO2	105	20.5
GO3	105	21.5
GO4	105	33.2
GP2	105	30.4
GQ1	105	23
GQ3	105	25.5
GQ4	105	21.3
GR1	105	27.8
GR3	105	30.6
GR4	105	32.3
GS1	105	26.7
GS2	105	35.3
GS3	105	26.1
GS4	105	33.9
GT1	105	35.7
GT3	105	30.9
GT4	105	30.5
GU1	105	25.3
GU2	105	36.9
GU3	105	30.6
GU4	105	22.1
GA1	112	39.3
GA3	112	38.8
GB1	112	25
GB2	112	64.4
GB3	112	27.6
GB4	112	25.9
GB5	112	24.9
GC1	112	46.5
GC2	112	44.4
GC3	112	35.7
GC4	112	47.8
GD1	112	28.3
GD2	112	33.5
GD3	112	35.5
GD4	112	26.3
GE1	112	41.1
GE2	112	40.5
GF1	112	40.2
GF2	112	41.9
GG1	112	35.9
GG2	112	43.2
GG3	112	42.2
GH1	112	32
GH2	112	30.5
GH3	112	28.6
GH4	112	26.4
GI2	112	36.2
GI3	112	39.5
GI4	112	34.2
GJ1	112	34.4
GJ2	112	36.4
GJ3	112	27.6
GK2	112	28.2
GK3	112	25.9
GK4	112	29.3
GK5	112	35.9
GL1	112	29.8
GL2	112	30.8
GL3	112	27.9
GM1	112	25
GM2	112	22.8
GM3	112	29.5
GM4	112	21.7
GN1	112	24.9
GN3	112	30.2
GN4	112	26.8
GO1	112	22.9
GO2	112	22.8
GO3	112	21.3
GO4	112	32.9
GP2	112	31.9
GQ1	112	22.4
GQ3	112	26.2
GQ4	112	22.1
GR1	112	28.3
GR3	112	30.4
GR4	112	30.2
GS1	112	27.1
GS2	112	35.7
GS3	112	27.2
GS4	112	34.2
GT1	112	32.8
GT3	112	30.9
GT4	112	30.6
GU1	112	25.8
GU2	112	36.8
GU3	112	31
GU4	112	22.5
GA1	119	39.7
GA3	119	40.1
GB1	119	25.2
GB2	119	65.1
GB3	119	29
GB4	119	26.4
GB5	119	24.2
GC1	119	48.3
GC2	119	46
GC3	119	38.1
GC4	119	50.5
GD1	119	27.7
GD2	119	31.3
GD3	119	35
GD4	119	25.5
GE1	119	42.1
GE2	119	40
GF1	119	40.8
GF2	119	42.5
GG1	119	35.7
GG2	119	41.9
GG3	119	41.2
GH1	119	32.8
GH2	119	31.6
GH3	119	29.6
GH4	119	27.4
GI2	119	36
GI3	119	40.1
GI4	119	34.2
GJ1	119	34.8
GJ2	119	37.1
GJ3	119	28.3
GK2	119	29.1
GK3	119	26
GK4	119	29.5
GK5	119	37.1
GL1	119	29.8
GL2	119	29.8
GL3	119	28.5
GM1	119	25.3
GM2	119	22.5
GM3	119	29
GM4	119	21.3
GN1	119	24.6
GN3	119	31
GN4	119	27.1
GO1	119	22.7
GO2	119	20.9
GO3	119	22.3
GO4	119	32.3
GP2	119	33.1
GQ1	119	22.4
GQ3	119	25.6
GQ4	119	22.6
GR1	119	28.9
GR3	119	29.9
GR4	119	30.1
GS1	119	25.6
GS2	119	36.8
GS3	119	26.5
GS4	119	33.4
GT1	119	31.2
GT3	119	31.4
GT4	119	31.2
GU1	119	23.7
GU2	119	37.7
GU3	119	28.1
GU4	119	23.2
GA1	122	37.9
GA3	122	40.2
GB1	122	24.6
GB2	122	65.8
GB3	122	29
GB4	122	26.4
GB5	122	25.9
GC1	122	47.7
GC2	122	45.8
GC3	122	37.7
GC4	122	49.9
GD1	122	27.9
GD2	122	32.2
GD3	122	36.1
GD4	122	27
GE1	122	41.5
GE2	122	39.6
GF1	122	41
GF2	122	43.8
GG1	122	36.3
GG2	122	43.2
GG3	122	42.3
GH1	122	32.2
GH2	122	33.2
GH3	122	29.4
GH4	122	26.2
GI2	122	35.8
GI3	122	39.9
GI4	122	34.3
GJ1	122	34.8
GJ2	122	36.9
GJ3	122	29
GK2	122	29.3
GK3	122	26
GK4	122	30.1
GK5	122	36.5
GL1	122	29.5
GL2	122	29.4
GL3	122	28.2
GM1	122	24.4
GM2	122	21.6
GM3	122	28.3
GM4	122	21.7
GN1	122	24.8
GN3	122	30.8
GN4	122	27
GO1	122	22.7
GO2	122	21
GO3	122	22.1
GO4	122	32.5
GP2	122	32.1
GQ1	122	22.5
GQ3	122	26.4
GQ4	122	20.9
GR1	122	27.5
GR3	122	30.1
GR4	122	30.7
GS1	122	26
GS2	122	38
GS3	122	27.4
GS4	122	33
GT3	122	31.2
GT4	122	30.6
GU1	122	23.8
GU2	122	37.5
GU3	122	28.5
GU4	122	23.3
GA1	124	36.9
GA3	124	39.7
GB1	124	25.3
GB2	124	65.6
GB3	124	28.7
GB4	124	26.1
GB5	124	24.9
GC1	124	47.8
GC2	124	46
GC3	124	37.6
GC4	124	50.2
GD1	124	26.8
GD2	124	32.1
GD3	124	35.9
GD4	124	25.7
GE1	124	41.8
GE2	124	40.2
GF1	124	40.6
GF2	124	42.8
GG1	124	36.3
GG2	124	42.3
GG3	124	42
GH1	124	31
GH2	124	32.8
GH3	124	29.8
GH4	124	25.2
GI2	124	35.2
GI3	124	39.3
GI4	124	33.4
GJ1	124	35.4
GJ2	124	37.2
GJ3	124	28.2
GK2	124	28.4
GK3	124	26.4
GK4	124	29.3
GK5	124	36.6
GL1	124	29
GL2	124	28
GL3	124	27
GM1	124	23.6
GM2	124	21.3
GM3	124	27.9
GM4	124	20.7
GN1	124	24.2
GN3	124	30.5
GN4	124	26.9
GO1	124	22.3
GO2	124	21.1
GO3	124	22.3
GO4	124	32.5
GP2	124	31.3
GQ1	124	21.7
GQ3	124	24.1
GQ4	124	22.2
GR1	124	28.9
GR3	124	29.8
GS1	124	26.3
GS2	124	37.5
GS3	124	26.8
GS4	124	32.1
GT3	124	30.1
GT4	124	30.9
GU1	124	21.9
GU2	124	37
GU3	124	26.9
GU4	124	23.3
GA1	126	36
GA3	126	40.3
GB1	126	24.9
GB2	126	66.3
GB3	126	28.8
GB4	126	26.8
GB5	126	25.3
GC1	126	48.5
GC2	126	46.5
GC3	126	37.8
GC4	126	50.6
GD1	126	27.7
GD2	126	32.6
GD3	126	35.2
GD4	126	26.2
GE1	126	41
GE2	126	40.3
GF1	126	41.1
GF2	126	43.4
