animal	dpi	event
TM3	358	icv5
TM4	1	icv1
TM4	93	icv2
TM4	181	icv3
TM4	271	icv4
TN1	1	icv1
TN1	93	icv2
TN2	1	icv1
TN2	93	icv2
TN3	1	icv1
TN3	93	icv2
TN4	1	icv1
TN4	93	icv2
TO1	1	icv1
TO1	93	icv2
TO1	181	icv3
TO1	271	icv4
TO1	358	icv5
TO1	457	icv6
TO2	1	icv1
TO2	93	icv2
TO2	181	icv3
TO2	271	icv4
TO2	358	icv5
TO2	457	icv6
TO3	1	icv1
TO3	93	icv2
TO3	181	icv3
TO3	271	icv4
TO3	358	icv5
TO3	457	icv6
TO4	1	icv1
TO4	93	icv2
TO4	181	icv3
TO4	271	icv4
TO4	358	icv5
TP1	105	icv1
TP2	105	icv1
TP3	105	icv1
TP4	105	icv1
TQ1	105	icv1
TQ2	105	icv1
TQ3	105	icv1
TQ4	105	icv1
TR1	105	icv1
TR2	105	icv1
TR3	105	icv1
TR4	105	icv1
TS1	105	icv1
TS2	105	icv1
TS3	105	icv1
TS4	105	icv1
TT1	120	icv1
TT2	120	icv1
TT3	120	icv1
TT4	120	icv1
TU1	120	icv1
TU2	120	icv1
TU3	120	icv1
TU4	120	icv1
TV1	120	icv1
TV2	120	icv1
TV3	120	icv1
TV4	120	icv1
TW1	120	icv1
TW2	120	icv1
TW3	120	icv1
TW4	120	icv1
TX2	78	icv1
TX3	78	icv1
TX4	78	icv1
TY1	78	icv1
TY1	168	icv2
TY1	258	icv3
TY2	78	icv1
TY2	168	icv2
TY2	258	icv3
TY2	344	icv4
TY3	78	icv1
TY3	168	icv2
TY3	258	icv3
TY3	344	icv4
TY4	78	icv1
TY4	168	icv2
TY4	258	icv3
TY4	344	icv4
TZ1	78	icv1
TZ2	78	icv1
TZ3	78	icv1
TZ4	78	icv1
TAA1	78	icv1
TAA1	168	icv2
TAA1	258	icv3
TAA1	344	icv4
TAA2	78	icv1
TAA2	168	icv2
TAA2	258	icv3
TAA2	344	icv4
TAA2	440	icv5
TAA3	78	icv1
TAA3	168	icv2
TAA3	258	icv3
TAA3	344	icv4
